Data, H, |I|, Out_Acc, In_Acc, Sol_Time, MIP_Gap, Obj_Val, Obj_Bound, Model, Lambda, Calibration_Time, Rand_State, Time_Limit, Tuning_Used, Num_CB, Num_Cuts, Total_CB_Time, MIP_Node_Time, MIP_Sol_Time, Max_Features, Single_Feature_Use, Regularization
kr_vs_kp,2,2397,0.868585732,0.870698644,3600.001359,0.150232843,1875.3,2157.031651,BendersOCT,0.1,18002.70471,89,3600,TRUE,23,22,30.20775437,,,,,
fico_binary,3,7844,0.715869981,0.708094328,3600.0045,0.403547366,5568,7814.951732,BendersOCT,0,18006.62203,89,3600,TRUE,47,45,78.00950813,,,,,
climate,5,405,0.903703704,0.947530864,3600.012131,0.055446836,306.6,323.6,BendersOCT,0.2,18034.48745,89,3600,TRUE,46,45,312.8309937,,,,,
fico_binary,2,7844,0.697131931,0.701561504,3600.003271,0.241447796,4420.2,5487.447547,BendersOCT,0.2,18006.09037,138,3600,TRUE,34,33,41.90184021,,,,,
spect,4,200,0.701492537,0.825,3600.000651,0.213992117,148,179.6708333,BendersOCT,0.1,18001.07199,42,3600,TRUE,109,102,11.59674191,,,,,
house_votes_84,4,326,0.963302752,0.992337165,3600.001454,0.009287926,323,326,BendersOCT,0,14543.17517,89,3600,TRUE,134,117,16.13743067,,,,,
balance_scale,4,468,0.738853503,0.770666667,3600.001379,0.190153689,327.2,389.418287,BendersOCT,0.1,18004.82827,42,3600,TRUE,128,127,12.24911499,,,,,
kr_vs_kp,2,2397,0.877346683,0.869655892,3600.00163,0.153972075,2077,2396.8,BendersOCT,0,18002.30628,42,3600,TRUE,19,18,17.12045813,,,,,
fico_binary,3,7844,0.69292543,0.714786488,3600.021722,0.39987371,554.2,775.8100102,BendersOCT,0.9,18007.03401,42,3600,TRUE,58,57,65.88122177,,,,,
climate,5,405,0.925925926,0.932098765,3600.021398,0.079955542,299.6,323.5546803,BendersOCT,0.2,18024.59323,42,3600,TRUE,48,42,317.3263073,,,,,
fico_binary,2,7844,0.70210325,0.701561504,3600.002715,0.302527646,548.6,714.5666667,BendersOCT,0.9,18005.0376,15,3600,TRUE,32,31,28.98815513,,,,,
spect,4,200,0.641791045,0.8,3600.000915,0.249999955,160.0000057,200,BendersOCT,0,18001.01985,0,3600,TRUE,132,118,9.280804873,,,,,
house_votes_84,4,326,0.944954128,0.988505747,3600.000728,0.017482922,287.9,292.9333333,BendersOCT,0.1,14547.31242,42,3600,TRUE,72,71,10.82236171,,,,,
balance_scale,4,468,0.770700637,0.765333333,3600.001354,0.193388285,286.2,341.5477273,BendersOCT,0.2,18000.82135,0,3600,TRUE,116,115,10.44249129,,,,,
kr_vs_kp,2,2397,0.868585732,0.87278415,3600.000475,0.149712092,2084,2396,BendersOCT,0,18001.78795,0,3600,TRUE,22,21,17.40870857,,,,,
fico_binary,3,7844,0.708221797,0.700605481,3600.005978,0.419531613,2748,3900.872872,BendersOCT,0.5,18005.82827,0,3600,TRUE,69,68,67.76162195,,,,,
